Timestamp,LUX,ColorTemperature_K,Spectral_1,Spectral_2,Spectral_3,Spectral_4,Spectral_5,Spectral_6,Luminance,IR,Full,ALS,ArduinoTimestamp,IsValid,Confidence,GPS_Valid,Latitude,Longitude,Altitude,Satellites,HDOP
2024-11-12 00:00:00,4.9,,0.0,0.0,0.0,0.0,0.0,0.0,4.99,0,3,5.09,1731366000000000,True,0.9,False,,,,,
2024-11-12 00:00:15,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1731366015000000,False,0.0,True,52.22969867356018,21.012208330340595,109.96551897019968,9.0,1.02
2024-11-12 00:00:30,7.86,,0.0,0.0,0.0,0.0,0.0,0.0,7.93,1,5,7.72,1731366030000000,True,0.9,True,52.229712007260346,21.012190145988736,110.32357220874964,6.0,1.67
2024-11-12 00:00:45,1.92,,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0,1,1.97,1731366045000000,True,0.9,True,52.22970002078619,21.012198686656884,111.67726938818669,6.0,1.25
2024-11-12 00:01:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1731366060000000,True,0.9,True,52.22972030349328,21.012203135135415,109.73799223822797,10.0,1.7
2024-11-12 00:01:15,5.25,,0.0,0.0,0.0,0.0,0.0,0.0,5.1,1,4,5.32,1731366075000000,True,0.9,True,52.22967961378474,21.012211754270105,109.26342980661907,13.0,1.31
2024-11-12 00:01:30,1.27,7263.0,0.0015,0.0017,0.0015,0.0014,0.001,0.0009,1.27,0,1,1.34,1731366090000000,True,0.7,True,52.229681560734555,21.012205089768937,109.94859068682402,8.0,1.7
2024-11-12 00:01:45,1.51,6979.0,0.0019,0.002,0.0018,0.0016,0.0013,0.0012,1.48,0,0,1.44,1731366105000000,True,0.7,True,52.22968617578962,21.012187217350277,110.8421324806279,8.0,1.08
2024-11-12 00:02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1731366120000000,True,0.9,True,52.2297112098788,21.012211031137795,109.60179309471732,9.0,1.01
2024-11-12 00:02:15,3.17,,0.0,0.0,0.0,0.0,0.0,0.0,3.09,0,2,2.96,1731366135000000,True,0.9,True,52.229716277645636,21.012196545812074,110.25194235139959,9.0,1.31
2024-11-12 00:02:30,1.61,,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0,1,1.56,1731366150000000,True,0.9,True,52.229688558857234,21.012205852177143,109.7598224478253,14.0,1.73
2024-11-12 00:02:45,0.0,7119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1731366165000000,True,0.7,True,52.229678937752105,21.012187228358602,110.53896646885579,7.0,0.87
2024-11-12 00:03:00,0.0,6221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1731366180000000,False,0.0,False,,,,,
2024-11-12 00:03:15,0.0,7142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1731366195000000,True,0.7,False,,,,,
2024-11-12 00:03:30,1.17,8077.0,0.0013,0.0015,0.0014,0.0011,0.001,0.0008,1.17,0,0,1.22,1731366210000000,True,0.7,True,52.2297157088736,21.01221346112488,108.99680205114097,9.0,1.93
2024-11-12 00:03:45,2.2,6502.0,0.0027,0.0027,0.0024,0.0022,0.0021,0.0015,2.17,0,1,1.98,1731366225000000,True,0.7,True,52.22970125596492,21.012203138225296,110.99716446059185,15.0,0.9
